shot,category,best_fixed_image_auroc,best_fixed_image_auroc_mode,dynamic_image_auroc,dynamic_minus_best_image_auroc,best_fixed_pixel_auroc,best_fixed_pixel_auroc_mode,dynamic_pixel_auroc,dynamic_minus_best_pixel_auroc,best_fixed_pixel_ap,best_fixed_pixel_ap_mode,dynamic_pixel_ap,dynamic_minus_best_pixel_ap,best_fixed_aupro,best_fixed_aupro_mode,dynamic_aupro,dynamic_minus_best_aupro,route_visual_count,route_text_count,route_weighted_count,image_weight_mean,image_weight_std,image_weight_q10,image_weight_q90,pixel_weight_mean,pixel_weight_std,pixel_image_weight_gap_mean
2,candle,0.8165,fixed_w075,0.8499,0.033399999999999985,0.9816941668639,fixed_w05,0.9850310065528048,0.003336839688904858,0.2301037242617638,fixed_w075,0.2365555688329702,0.0064518445712064,0.9534724665160966,fixed_w075,0.954643903619953,0.0011714371038563653,1631,0,531,0.9483794519305229,0.016236374489678358,0.949999988079071,0.949999988079071,0.39501079568222186,0.020435483210483087,0.553368656248301
2,capsules,0.8279166666666667,fixed_w025,0.8190833333333334,-0.00883333333333336,0.941185520600837,fixed_w05,0.9411348024562648,-5.0718144572248214e-05,0.2519368457272808,fixed_w05,0.2420343325824148,-0.00990251314486601,0.7994247103166563,fixed_w05,0.8007637058935874,0.001338995576931068,1631,0,531,0.710725997760892,0.19029051655893986,0.5006871879100799,0.949999988079071,0.46863613512493707,0.023603575890756713,0.24332606448959448
2,cashew,0.7596,fixed_w025,0.7565999999999999,-0.0030000000000001137,0.9437669068172873,fixed_w075,0.9431701893259912,-0.0005967174912960838,0.1965764266458244,fixed_w075,0.1960087947231673,-0.0005676319226571025,0.9002196688934623,fixed_w05,0.9181826507746604,0.01796298188119816,1631,0,531,0.7538446720441182,0.17904648805398282,0.5098096311092377,0.949999988079071,0.2068755168386667,0.016552100050270923,0.5469691552054515
2,chewinggum,0.9768,fixed_w075,0.9824,0.005600000000000049,0.9923456684017374,fixed_w075,0.992026292062013,-0.0003193763397244531,0.4959010409941815,fixed_w075,0.4963943832102441,0.00049334221606262,0.939400200070931,fixed_w075,0.9272978449280438,-0.012102355142887156,1631,0,531,0.9101490708192189,0.06121753927024705,0.8607816457748413,0.949999988079071,0.1766930575766694,0.02649595127769205,0.7334560132425495
2,fryum,0.927,fixed_w025,0.9044,-0.022600000000000064,0.946046568560147,fixed_w075,0.9459990856183914,-4.748294175560552e-05,0.2338589575446782,fixed_w075,0.2334074199145402,-0.0004515376301379992,0.8566304783615935,fixed_w025,0.8710166865927012,0.0143862082311077,1631,0,531,0.7297583166758219,0.1659782238999296,0.5311914324760437,0.949999988079071,0.22711022714518606,0.015020327006081692,0.5026480895306359
2,macaroni1,0.8674000000000001,fixed_w025,0.8674000000000001,0.0,0.9804478801362826,fixed_w075,0.9804186410928744,-2.9239043408235688e-05,0.12400648126952,fixed_w05,0.1235479590418293,-0.0004585222276907025,0.7997258206829561,fixed_w025,0.8598897942832825,0.06016397360032644,1631,0,531,0.9419839265942573,0.03898169303311503,0.949999988079071,0.949999988079071,0.47544427545535656,0.007363971860789699,0.4665396511389009
2,macaroni2,0.7221000000000001,fixed_w025,0.7156,-0.006500000000000061,0.9757109534641416,fixed_w075,0.9754998517353208,-0.00021110172882077283,0.0173169132112217,fixed_w075,0.0116728002421428,-0.0056441129690789,0.826900280183174,fixed_w025,0.8517602779694836,0.02485999778630965,1631,0,531,0.685325232744217,0.15005664845099162,0.5363140106201172,0.949999988079071,0.7230192777909159,0.008546674043344768,0.1431857874574903
2,pcb1,0.8519000000000001,fixed_w025,0.8316000000000001,-0.020299999999999985,0.9355853267052038,fixed_w075,0.935492448461466,-9.287824373782616e-05,0.0839262150832406,fixed_w075,0.0839601045747387,3.388949149810139e-05,0.7503535716953603,fixed_w05,0.7603231766820004,0.009969604986640124,1631,0,531,0.9251636758446693,0.05560668553653471,0.8645552635192871,0.949999988079071,0.3192840022382387,0.007626170048267205,0.6058796736064306
2,pcb2,0.6205,fixed_w025,0.6219,0.0013999999999999568,0.8942968278044704,fixed_w075,0.8937790778796677,-0.0005177499248026907,0.060580747154333,fixed_w075,0.060463638664667,-0.0001171084896659999,0.2996361545572488,fixed_w025,0.4311899154981378,0.131553760940889,1631,0,531,0.7798811727762223,0.17389881949959593,0.5237878799438477,0.949999988079071,0.24718266746659961,0.005610121298263197,0.5326985053096227
2,pcb3,0.6168316831683168,fixed_w025,0.6168316831683168,0.0,0.878825195019501,fixed_w075,0.875941097865837,-0.0028840971536640003,0.037151980217709,fixed_w075,0.0353534979923574,-0.0017984822253515956,0.67960396306483,fixed_w05,0.6800501725401263,0.00044620947529638855,1631,0,531,0.949999988079071,0.0,0.949999988079071,0.949999988079071,0.4230494449663292,0.01770101414365977,0.5269505431127419
2,pcb4,0.938910891089109,fixed_w025,0.9013861386138614,-0.03752475247524756,0.9459804172176092,fixed_w075,0.9459697746503242,-1.0642567285001903e-05,0.1670525801755681,fixed_w025,0.1667974437619126,-0.0002551364136554879,0.7184525453288122,fixed_w075,0.7740859407837472,0.05563339545493495,1631,0,531,0.8386903422981945,0.13664757363972033,0.6056467890739441,0.949999988079071,0.2768457504083148,0.0057656277353099585,0.5618445918898798
2,pipe_fryum,0.9228,fixed_w025,0.9206,-0.0021999999999999797,0.970911505231157,fixed_w075,0.9704189934023356,-0.0004925118288213737,0.2781577349782055,fixed_w075,0.2772524251810981,-0.0009053097971074009,0.9389517901970652,fixed_w075,0.9563602280222964,0.01740843782523116,1631,0,531,0.6022893516222636,0.15293276699317868,0.5023283004760742,0.949999988079071,0.20763624403207437,0.021802909567373904,0.3946531075901891
4,candle,0.8137000000000001,fixed_w075,0.8163999999999999,0.0026999999999998137,0.9841250557479646,fixed_w05,0.9859296587813255,0.0018046030333609409,0.230584354131394,fixed_w075,0.2364050048613576,0.0058206507299636,0.961483543228565,fixed_w075,0.9607840096841234,-0.0006995335444416328,1932,0,230,0.8377132530510426,0.14489887899205506,0.5889877617359162,0.949999988079071,0.2379059069463939,0.0226131883673345,0.5998073461046486
